,Infection0.0,Infection0.02778,Infection0.05556,Infection0.08333,Infection0.11111,Infection0.13889,Infection0.16667,Infection0.19444,Infection0.22222,Infection0.25
Degradation0.0,,0.18613203263982986,0.19999192496772183,0.06073673235221573,,0.1281765751104371,,0.1342997972019553,,0.11648205245343343
Degradation0.02778,0.05169595383200471,,0.014057433269177723,0.14067230721829932,,,,0.08463556686226517,0.1898083169336808,
Degradation0.05556,0.06978967146575815,0.07964976888231154,0.17247466974748465,,,,,0.08281554857781945,0.08084372019608801,0.1369439695602424
Degradation0.08333,,0.28695381337550896,0.08273973694594945,,,0.07314088172953241,,0.12110928068112548,0.1812519993238736,
Degradation0.11111,0.04674917213201041,,0.07950247175872299,0.05362599226257715,,0.24510117053036662,0.14710389150958114,0.07394681275075964,0.06051862662844714,
Degradation0.13889,0.07278466035804088,0.13367536035989175,,,,,0.1312429152547754,0.12129267672014596,,0.18423927899196318
Degradation0.16667,0.12602569661302437,0.14738744755870153,,,0.06996190366303463,,,,0.18952154392277065,
Degradation0.19444,0.11954370605472467,0.1287281837896885,0.06436247853456863,0.1095250822285954,0.09784484899311134,,,,,
Degradation0.22222,,0.05200780210054346,0.09866931774123273,0.06221704642491411,0.10526276746286889,0.09264453737032621,0.136774113296363,0.20079884974783913,,
Degradation0.25,0.06782495466023858,0.08123474237824113,,,,0.09976426477399661,,,,
