,Infection0.0,Infection0.02778,Infection0.05556,Infection0.08333,Infection0.11111,Infection0.13889,Infection0.16667,Infection0.19444,Infection0.22222,Infection0.25
Degradation0.0,,0.207371118,0.14440773,,,0.173068011,,0.133215178,,0.072025908
Degradation0.02778,,0.072025908,0.230514627,0.329062412,0.137703284,0.195101411,0.180767257,0.179548495,0.190305854,
Degradation0.05556,,0.27878724,0.086602283,0.124290148,0.21313214,0.131153512,0.336632113,0.296145305,0.133528903,0.137067514
Degradation0.08333,,,0.130719696,0.209915747,0.207956505,0.191569255,0.154612391,0.100463622,0.220698555,
Degradation0.11111,,0.072025908,0.083724829,0.129477079,0.089964112,0.072025908,0.139190094,0.169121618,0.119245605,
Degradation0.13889,,0.12170378,0.185341969,0.072025908,0.199101567,0.134218565,0.158297944,0.083535812,,0.072025908
Degradation0.16667,,0.072025908,0.126236403,0.184819407,0.172106494,0.166878783,0.110069053,0.165755829,,0.17059459
Degradation0.19444,,0.072025908,0.166931816,0.111940584,0.13158055,0.186978937,0.086788355,0.162706022,0.113747092,0.112893511
Degradation0.22222,,0.072025908,0.569937331,0.072939185,0.221852708,0.103042296,0.099076668,0.169787848,0.095140999,0.130462925
Degradation0.25,,0.072025908,0.158359762,0.072025908,0.169690183,0.19926207,0.212517175,0.118276165,0.184171578,0.137067514
