,Infection0.0,Infection0.01316,Infection0.02632,Infection0.03947,Infection0.05263,Infection0.06579,Infection0.07895,Infection0.09211,Infection0.10526,Infection0.11842,Infection0.13158,Infection0.14474,Infection0.15789,Infection0.17105,Infection0.18421,Infection0.19737,Infection0.21053,Infection0.22368,Infection0.23684,Infection0.25
Degradation0.0,,0.09068771596426456,0.17228636287228538,0.15340048105390516,0.11877282873383355,,0.20675343250244935,0.19073298881664721,0.07202590778402529,0.10437153645021899,0.19887847036948453,0.10556597179561125,0.1460890910378562,,,,,,,
Degradation0.01316,,0.35945078776487066,0.1527669339642328,0.24074323047173524,0.12002978256353557,0.2551774757422234,0.29540552896458244,0.14672667115547794,0.10821222073058079,0.15760082681270637,0.08730596496787447,0.17664484250649065,,0.17924518348525487,,,,,,
Degradation0.02632,,0.14621031997177242,0.22049031033159916,0.1094728861566566,0.576665029243816,0.08410437300942482,0.11016056274676327,0.20849881602930787,0.1461404160284073,0.1705511170532104,,0.160691245553642,0.07202590778402529,,,,,,,
Degradation0.03947,,0.16824495790245306,0.12651348474142488,0.09822621197253122,0.1132302236235254,0.16415920363672698,0.22088393378483984,0.19073298881664721,0.2007723764913001,0.14110880206817727,0.13752032335420186,0.08255513409843661,0.11456470536196094,0.23364936227782182,,,,,,
Degradation0.05263,,0.07202590778402529,0.07648546764443546,0.21428303328129902,0.22880244869598704,0.25960458492164745,0.15497451356155104,0.07202590778402529,0.16666655208233144,0.07202590778402529,0.18444300149438042,0.18013421284680997,,0.16659225354387786,,,,,,
Degradation0.06579,,0.07202590778402529,0.2583616547448397,0.30339318415886163,0.22675650578101028,0.24281294704719467,0.2099157465791376,0.16909353488191517,0.10517914813756937,0.10710605868572962,0.16739688423720467,0.32267287014831936,0.1197305152157364,,,,,,,
Degradation0.07895,,0.07202590778402529,0.10573038546360539,0.07202590778402529,0.07202590778402529,0.20245816339085326,0.09172662777946543,0.2797227259319782,0.1686163862788549,0.09372477264992068,0.20634410323047955,0.2013652632373039,0.09023309096084904,,,,,,,
Degradation0.09211,,0.07690111796654742,0.08517143452900623,0.12850098081334038,0.13254084523560342,0.26125923257560374,0.10625418887743568,0.16629520328439806,0.1686163862788549,0.08730596496787447,,0.19986913062064637,,,,,,,,
Degradation0.10526,,0.30635070281634197,0.07202590778402529,0.07202590778402529,0.11815246628298104,0.26125923257560374,0.09125170475977305,0.3499419462145672,0.09068114100476596,0.10479828274822828,0.1515641561843849,0.12566619933685255,0.13900753492259538,,,,,,,
Degradation0.11842,,,0.10677438995108202,0.1425669419677572,0.15923373880817268,0.26125923257560374,0.16759080543667537,0.1920346523529389,0.23095272011379556,0.18474061396309882,0.10732410444807566,0.11460279158160881,0.26229793033856663,,,,,,,
Degradation0.13158,,0.07202590778402529,0.19248317120056643,0.07202590778402529,0.15776591283590946,0.192305680003751,0.1694372466789199,0.23105003322583262,0.41382112394646764,0.1409148812539589,0.18212982825905175,0.23857031449378807,0.12302581123625042,,,,,,,
Degradation0.14474,,,0.09947019154776636,0.2309004121034971,0.12333673683936613,0.18430931358473845,0.23287714507162433,0.07807439843231212,0.1823579940962381,0.1548892391953336,0.07202590778402529,0.15367070187218979,0.08331103258872502,,,,,,,
Degradation0.15789,,0.5344218841076364,0.08631155350883435,0.07202590778402529,0.07202590778402529,0.16517199148715483,0.1499372400034914,0.19397413201108776,0.09329102784317571,0.1525257390002083,0.14307607282705626,0.12619391123419943,0.22325195087268077,,,,,,,
Degradation0.17105,,,0.2560485057118302,0.18166187924801036,0.08240703875302577,0.25960458492164745,0.1139991060829858,0.12458166656854346,0.1409010035869629,0.11835110729678755,0.07523224693180988,0.20139124908583966,0.09149918206881102,,,,,,,
Degradation0.18421,,0.07202590778402529,0.17708038057075148,0.19220742331189447,0.14756410229336234,0.36342341303076464,0.20803620516596733,0.1463006972609637,0.1701524002848188,0.07202590778402529,0.15914157611061452,0.16129015614152734,0.07202590778402529,,,,,,,
Degradation0.19737,,0.07202590778402529,,0.13937725739368875,0.28776794011293383,0.2330174344764651,0.14243293087173597,0.2258572911357467,0.21936105081017163,0.1257497968250124,0.07202590778402529,0.09478205982787147,0.14011634944848284,,,,,,,
Degradation0.21053,,,0.0860003421825962,0.080950570122341,0.2674236040773077,0.18071590960007816,0.20623411595878904,0.07202590778402529,0.2407829504394285,0.15503010434727726,0.09104321628993876,0.07285054432507851,0.18272568471756245,,,,,,,
Degradation0.22368,,,0.11559597450879697,0.2095418821579539,0.5699373306369996,0.25960458492164745,0.2981799785546605,0.07202590778402529,0.1750623012479173,0.14266439532878705,0.14557088792896694,0.2092646992281071,0.1171071265820761,,,,,,,
Degradation0.23684,,,,0.07202590778402529,0.16318658310328288,0.07202590778402529,0.22118112179947677,0.27578186304009555,0.1989200489004306,0.1652090623647638,0.1481978832957534,0.12933735516168587,0.11543759396087466,,,,,,,
Degradation0.25,,,0.22232047835529178,0.1536668338322532,0.13746355119700504,0.20842460865301915,0.07202590778402529,0.20963609969122035,0.20200017438421092,0.1689808931156139,0.20367733017870326,0.07202590778402529,0.07202590778402529,,,,,,,
