,Infection0.0,Infection0.01316,Infection0.02632,Infection0.03947,Infection0.05263,Infection0.06579,Infection0.07895,Infection0.09211,Infection0.10526,Infection0.11842,Infection0.13158,Infection0.14474,Infection0.15789,Infection0.17105,Infection0.18421,Infection0.19737,Infection0.21053,Infection0.22368,Infection0.23684,Infection0.25
Degradation0.0,,0.11452337390404445,0.13526894878995444,0.18355931386389265,,,,,,,,,,,,,,,,
Degradation0.01316,,0.10897149730155557,0.17262881853897305,0.5791136867377258,0.5791136867377258,,,,,,,,,,,,,,,
Degradation0.02632,,0.10848506583003541,0.09579895941177795,0.1649038386588607,0.07417024396848733,,,,,,,,,,,,,,,
Degradation0.03947,,0.38811197296097966,0.23864534078286714,0.1649038386588607,0.3942161627154966,,,,,,,,,,,,,,,
Degradation0.05263,,0.07202590778402529,0.0912024347891178,0.07309261554949871,0.07490880567012766,,,,,,,,,,,,,,,
Degradation0.06579,,0.07202590778402529,0.289204619244151,0.16707333075367578,0.2695323150162864,,,,,,,,,,,,,,,
Degradation0.07895,,0.07202590778402529,0.22355925901113097,0.0906666013559399,0.09429202193676797,,,,,,,,,,,,,,,
Degradation0.09211,,0.07202590778402529,0.1833270553242049,0.07202590778402529,0.1706927644426946,,,,,,,,,,,,,,,
Degradation0.10526,,0.07202590778402529,0.07202590778402529,0.18497643080335177,0.07825786025413223,,,,,,,,,,,,,,,
Degradation0.11842,,,0.19583102768358296,0.1358579964358606,0.07202590778402529,,,,,,,,,,,,,,,
Degradation0.13158,,0.07202590778402529,,0.18916554463999052,,,,,,,,,,,,,,,,
Degradation0.14474,,0.07202590778402529,0.20074372278742741,0.10978408243117094,,,,,,,,,,,,,,,,
Degradation0.15789,0.07202590778402529,,0.07202590778402529,0.07202590778402529,,,,,,,,,,,,,,,,
Degradation0.17105,,,0.07202590778402529,0.20437656565427964,,,,,,,,,,,,,,,,
Degradation0.18421,,0.07202590778402529,0.2066568029519048,0.14339126322400528,,,,,,,,,,,,,,,,
Degradation0.19737,,0.07202590778402529,,0.2516929416405823,,,,,,,,,,,,,,,,
Degradation0.21053,,,0.07202590778402529,0.08772407784632741,,,,,,,,,,,,,,,,
Degradation0.22368,,,,0.5699373306369996,,,,,,,,,,,,,,,,
Degradation0.23684,,0.07202590778402529,,0.19757144446395755,,,,,,,,,,,,,,,,
Degradation0.25,,,0.07202590778402529,0.17366945249025156,,,,,,,,,,,,,,,,
